Provincia,NDVI_Mean
"Buenos Aires",0.5545208446066441
"Ciudad Autónoma de Buenos Aires",0.18853118987195858
"Catamarca",0.14483633500982898
"Chaco",0.558109064622233
"Chubut",0.19060948401583405
"Córdoba",0.3511107848248279
"Corrientes",0.6065097703291253
"Entre Ríos",0.5998532134736633
"Formosa",0.6162764111201697
"Jujuy",0.20060347256627348
"La Pampa",0.33287961062615273
"La Rioja",0.1940507041936136
"Mendoza",0.18056817921888849
"Misiones",0.748385751216819
"Neuquén",0.20111901545378097
"Río Negro",0.18843386555381472
"Salta",0.3138508681301941
"San Juan",0.11273746808387668
"San Luis",0.31272089600157965
"Santa Cruz",0.19166796466653935
"Santa Fe",0.4778133945401356
"Santiago del Estero",0.3545753887605175
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",0.4537242282932715
"Tucumán",0.4023653848240273
